10841724,Research on poverty,Active,2024-04-01,,SDG1,1
10875761,Tracking Access Measures of Students and Employees,Active,2024-04-01,,SDG5,5
10250099,University anti-poverty programmes,Active,2024-04-01,,SDG1,9
10689355,Proportion of women receiving degrees,Active,2024-04-01,,SDG5,6
10320887,Tracking Access Measures of Students and Employees,Active,2024-04-01,,SDG5,4
10115564,Disaster risk reduction management,Active,2024-04-01,,SDG13,32
10812225,Tracking Access Measures of Students and Employees,Active,2024-04-01,,SDG5,3
10416185,Environmental education measures,Active,2024-04-01,,SDG13,84
10437298,Low-carbon energy use,Active,2024-04-01,,SDG13,88
10510640,Environmental education measures,Active,2024-04-01,,SDG13,99
10519727,Environmental education measures,Active,2024-04-01,,SDG13,104
10573340,Research on Climate Action,Active,2024-04-01,,SDG13,108
10654786,Environmental education measures,Active,2024-04-01,,SDG13,127
10668343,Environmental education measures,Active,2024-04-01,,SDG13,130
10496958,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,2
10962242,Commitment to carbon neutral campus,Active,2024-04-01,,SDG13,187
10782748,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,3
10490895,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,4
10274428,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,10
10632352,Sustainable practices,Active,2024-04-01,,SDG11,11
10318898,Support of arts and heritage,Active,2024-04-01,,SDG11,5
10987593,Sustainable practices,Active,2024-04-01,,SDG11,12
10804421,Sustainable practices,Active,2024-04-01,,SDG11,13
10300790,Sustainable practices,Active,2024-04-01,,SDG11,14
10111493,Sustainable practices,Active,2024-04-01,,SDG11,15
10533791,Research on sustainable cities and communities,Active,2024-04-01,,SDG11,1
10377646,Support of arts and heritage,Active,2024-04-01,,SDG11,4
10847608,Support of arts and heritage,Active,2024-04-01,,SDG11,7
10743164,Support of arts and heritage,Active,2024-04-01,,SDG11,8
10942168,Sustainable practices,Active,2024-04-01,,SDG11,10
10643251,Expenditure on arts and heritage,Active,2024-04-01,,SDG11,9
10565346,Support of arts and heritage,Active,2024-04-01,,SDG11,3
10979321,Support of arts and heritage,Active,2024-04-01,,SDG11,6
10709019,Operational measures,Active,2024-04-01,,SDG12,3
10739828,Operational measures,Active,2024-04-01,,SDG12,7
10246578,Research on responsible consumption and production,Active,2024-04-01,,SDG12,1
10756879,Responsible consumption and production in the community,Active,2024-04-01,,SDG12,11
10828561,Operational measures,Active,2024-04-01,,SDG12,6
10686545,Maintaining a local system,Active,2024-04-01,,SDG14,11
10481105,Proportion of recycled waste,Active,2024-04-01,,SDG12,9
10909675,Maintaining a local system,Active,2024-04-01,,SDG14,12
10357277,Operational measures,Active,2024-04-01,,SDG12,2
10895986,Operational measures,Active,2024-04-01,,SDG12,4
10321457,Operational measures,Active,2024-04-01,,SDG12,5
10191744,Maintaining a local system,Active,2024-04-01,,SDG14,13
10421202,Maintaining a local system,Active,2024-04-01,,SDG14,14
10958212,Supporting aquatic ecosystems through education,Active,2024-04-01,,SDG14,6
10637518,Supporting aquatic ecosystems through education,Active,2024-04-01,,SDG14,8
10787122,Water sensitive waste disposal,Active,2024-04-01,,SDG14,4
10250683,Research on Life Below Water,Active,2024-04-01,,SDG14,5
10106180,Supporting aquatic ecosystems through education,Active,2024-04-01,,SDG14,7
10113726,Supporting aquatic ecosystems through action,Active,2024-04-01,,SDG14,1
10401022,Supporting aquatic ecosystems through action,Active,2024-04-01,,SDG14,10
10287848,Supporting aquatic ecosystems through action,Active,2024-04-01,,SDG14,9
10835471,Sustainable land practices,Active,2024-04-01,,SDG15,2
10060587,Sustaining biodiversity of the community,Active,2024-04-01,,SDG15,7
10691083,Proportion of endangered flora and fauna in the campus,Active,2024-04-01,,SDG15,3
10364070,Sustainable use of land,Active,2024-04-01,,SDG15,6
10187616,Sustainable use of land,Active,2024-04-01,,SDG15,5
10132461,Research on Life on Land,Active,2024-04-01,,SDG15,1
10459621,University governance measures,Active,2024-04-01,,SDG16,3
10600284,University governance measures,Active,2024-04-01,,SDG16,4
10513452,Working with government,Active,2024-04-01,,SDG16,7
10349389,Working with government,Active,2024-04-01,,SDG16,6
10970257,University governance measures,Active,2024-04-01,,SDG16,2
10893611,Working with government,Active,2024-04-01,,SDG16,8
10646087,University governance measures,Active,2024-04-01,,SDG16,10
10447277,Research on Peace and Justice,Active,2024-04-01,,SDG16,1
10619080,Working with government,Active,2024-04-01,,SDG16,9
10559928,University governance measures,Active,2024-04-01,,SDG16,5
10202621,Education for the SDGs,Active,2024-04-01,,SDG17,8
10802503,Relationships to support the goals,Active,2024-04-01,,SDG17,5
10957759,Research into partnership for the goals,Active,2024-04-01,,SDG17,1
10228379,Education for the SDGs,Active,2024-04-01,,SDG17,10
10894308,Publication of SDG Reports ,Active,2024-04-01,,SDG17,7
10364899,Relationships to support the goals,Active,2024-04-01,,SDG17,3
10988053,Relationships to support the goals,Active,2024-04-01,,SDG17,4
10093128,Education for the SDGs,Active,2024-04-01,,SDG17,9
10936311,Relationships to support the goals,Active,2024-04-01,,SDG17,6
10948898,Relationships to support the goals,Active,2024-04-01,,SDG17,2
10022650,University anti-poverty programmes,Active,2024-04-01,,SDG1,8
10288279,Financial aid to low-income students,Active,2024-04-01,,SDG1,3
10477543,University anti-poverty programmes,Active,2024-04-01,,SDG1,7
10696998,Financial aid to low-income students,Active,2024-04-01,,SDG1,4
10111379,University anti-poverty programmes,Active,2024-04-01,,SDG1,6
10024929,University anti-poverty programmes,Active,2024-04-01,,SDG1,5
10575482,Research on Reduced Inequalities,Active,2024-04-01,,SDG10,1
10371617,Sustainable practices,Active,2024-04-01,,SDG11,16
10292112,Sustainable practices,Active,2024-04-01,,SDG11,17
10795949,Sustainable practices,Active,2024-04-01,,SDG11,18
10112043,Sustainable practices,Active,2024-04-01,,SDG11,29
10339248,University governance measures,Active,2024-04-01,,SDG16,65
10362870,Sustainable practices,Active,2024-04-01,,SDG11,71
10397811,Sustainable practices,Active,2024-04-01,,SDG11,80
10620592,Water sensitive waste disposal,Active,2024-04-01,,SDG14,121
10684728,Maintaining a local system,Active,2024-04-01,,SDG14,131
10982725,University governance measures,Active,2024-04-01,,SDG16,192
10594808,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,5
10304372,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,8
10852496,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,6
10989410,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,7
10373616,Measures against discrimination on students and employees,Active,2024-04-01,,SDG10,9
