ID735115,Published Research on Poverty WITHOUT co-author in Low or Lower-Middle income country,SDG1,10841724,active,number
ID417848,Published research with Co-Authored with Low or Lower-Middle income country,SDG1,10841724,active,number
ID187567,Low-income students who received only Private-Funded scholarship,SDG1,10601034,active,number
ID81501,Total No. of Low-Income students,SDG1,10601034,active,number
ID662387,Low-income students who received only Government-Funded scholarship,SDG1,10601034,active,number
ID628064,Low-income students who received Both Private and Government Funded scholarship,SDG1,10601034,active,number
ID245822,Books,SDG1,10288279,active,number
ID542635,Computers,SDG1,10288279,active,number
ID659461,Total no. of PPAs that aim to maintain ecosystems and biodiversity,SDG14,10113726,active,number
ID819181,Total no. of technologies/practices that aims to minimize or prevent damage to aquatic ecosystems,SDG14,10053292,active,number
ID838837,Does your campus have water quality standards and guidelines for water discharges?,SDG14,10019637,active,number
ID975892,No. of PPAs for water discharge guidelines and standards,SDG14,10019637,active,number
ID942237,Does your campus have an action plan in place to reduce plastic waste?,SDG14,10787122,active,number
ID355644,School Supplies,SDG1,10288279,active,number
ID881716,Other low income support for students,SDG1,10696998,active,number
ID504409,Total Admitted Students,SDG1,10024929,active,number
ID98599,Number of low-income admitted students,SDG1,10024929,active,number
ID859937,No. of PPAs that support low-income students,SDG1,10111379,active,number
ID818346,No. of PPAs that support low-income students,SDG1,10477543,active,number
ID998882,No. of Student Assistant (Low-Income),SDG1,10022650,active,number
ID220468,Number of Student Assistant,SDG1,10022650,active,number
ID317590,Number of Student Assistant,SDG1,10250099,active,number
ID867250,No. of Student Assistant (Low-Income),SDG1,10250099,active,number
ID737791,No. of Foreign Student from Low-Income Country,SDG1,10904952,active,number
ID206106,No. of Foreign Student from Low-Income country received financial support from the campus.,SDG1,10904952,active,number
ID653377,No. of assistance provided to local start-ups (except financial assistance),SDG1,10586614,active,number
ID568772,No. of start-ups provided with financial assistance,SDG1,10816190,active,number
ID149032,No. of PPAs implemented to improve community access to basic services,SDG1,10918849,active,number
ID60515,Local,SDG1,10032021,active,number
ID765373,Regional,SDG1,10032021,active,number
ID732386,National,SDG1,10032021,active,number
ID844438,Global,SDG1,10032021,active,number
ID448399,Published Research (SCOPUS/Web Science),SDG2,10837634,active,number
ID427600,Published Research (Other Peer-Reviewed),SDG2,10837634,active,number
ID179787,Total Campus Population,SDG2,10777355,active,number
ID886402,Total Food Waste per Capita per Month (in kg),SDG2,10777355,active,number
ID987587,No. of students who experience hunger,SDG2,10881096,active,number
ID724104,No. of Long-term Program in place on student food insecurity,SDG2,10841410,active,number
ID845157,Total No. of employees who experience hunger,SDG2,10947693,active,number
ID976232,Total No. of hunger intervention (PPA),SDG2,10654933,active,number
ID268273,Total No. of PPAs for sustainable food choices,SDG2,10115134,active,number
ID108145,Total No. of Extension Activities that provide security knowledge to local farmers and producers,SDG2,10029222,active,number
ID353619,Total No. of Events provided for local farmers and food producers,SDG2,10051211,active,number
ID244824,No. of local farmers and producers who were given access to university facilities,SDG2,10513859,active,number
ID98525,Total No. of local producers whom the university purchased sustainable food,SDG2,10594673,active,number
ID979341,Published Research (Other Peer-Reviewed),SDG3,10381406,active,number
ID103908,Published Research (SCOPUS/Web Science),SDG3,10381406,active,number
ID9175,National,SDG3,10272449,active,number
ID995490,Local,SDG3,10272449,active,number
ID86566,Global,SDG3,10272449,active,number
ID186246,Total No. of Health Outreach Program (PPA),SDG3,10661513,active,number
ID812087,Total No. of Approved Request w/ Free Access,SDG3,10429404,active,number
ID178379,No. of Sexual&Reproductive Health Care Services for students,SDG3,10881057,active,number
ID316221,No. of Sexual&Reproductive Health Care Services for employees,SDG3,10338269,active,number
ID471142,No. of mental health support for students and employees,SDG3,10955289,active,number
ID801557,Total no. of policy,SDG3,10515836,active,number
ID57318,Total no. of PPAs implemented in accordance to the policy,SDG3,10515836,active,number
ID613234,Published Research (SCOPUS/Web Science),SDG4,10455372,active,number
ID529863,Published Research (Other Peer-Reviewed),SDG4,10455372,active,number
ID659340,Do you have CTE?,SDG4,10157814,active,number
ID290482,No. of programs w/ licensure exam for the current year,SDG4,10157814,active,number
ID190594,No. of programs w/ passing rate above or equal to nat'l passing rate,SDG4,10157814,active,number
ID146159,No. of CTE programs ,SDG4,10279679,active,number
ID495058,No. of programs w/ passing rate above or equal to nat'l passing rate,SDG4,10279679,active,number
ID477281,Total no. of PPAs free access to general public,SDG4,10829294,active,number
ID561920,No. of educational events hosted open to general public,SDG4,10748473,active,number
ID616744,No. of vocational training events hosted open to general public,SDG4,10991609,active,number
ID850205,Total no. of education outreach activities beyond campus,SDG4,10982639,active,number
ID630210,Total no. of Policy,SDG4,10596319,active,number
ID993923,Total no. of PPAs implemented in accordance to the policy,SDG4,10596319,active,number
ID59733,No. of First year students,SDG4,10329225,active,number
ID854066,No. of first year -first gen students,SDG4,10329225,active,number
ID442190,Published Research (SCOPUS/Web Science),SDG5,10475480,active,number
ID401224,Published Research (Other Peer-Reviewed),SDG5,10475480,active,number
ID551079,No. of first year - first gen students,SDG5,10160945,active,number
ID855053,No. of first year - first gen - female students,SDG5,10160945,active,number
ID639305,Total no. of admission policy,SDG5,10812225,active,number
ID935065,Total number of other PPAs exclusively for women,SDG5,10320887,active,number
ID80685,Total number of PPAs to encourage women’s application in underrepresented subjects,SDG5,10875761,active,number
ID332650,% of female graduates,SDG5,10689355,active,number
ID278885,Total no. of policy,SDG5,10345751,active,number
ID807139,Total no. of Policy with PPAs,SDG5,10026232,active,number
ID203198,Points in the FAT,SDG5,10745619,active,number
ID397529,Total no. of discussions conducted in the campus by CODI,SDG5,10070683,active,number
ID204360,Do you have VAW Desk?,SDG5,10110187,active,number
ID890681,Do you have VAW Officer?,SDG5,10110187,active,number
ID398643,VAW Officer Name:,SDG5,10110187,active,number
ID963956,Total campus GAA utilized for gender mainstreaming,SDG5,10424134,active,number
ID741842,% of total campus GAA utilized for gender mainstreaming,SDG5,10424134,active,number
ID630682,Total amount of campus GAA,SDG5,10424134,active,number
ID800546,No. of CapDev sessions w/ IEC materials,SDG5,10361323,active,number
ID399755,No. of GAD observances w/ IEC materials,SDG5,10032763,active,number
ID922698,No. of books/ e-books,SDG5,10897317,active,number
ID430124,GenEd courses,SDG5,10076972,active,number
ID878183,No. of Integration,SDG5,10076972,active,number
ID620027,Total no. of extension PPAs integrated with gender perspective,SDG5,10949401,active,number
ID245715,Published Research (Other Peer-Reviewed),SDG6,10414600,active,number
ID824957,Published Research (SCOPUS/Web Science),SDG6,10414600,active,number
ID679401,Liters per day/pax,SDG6,10019051,active,number
ID666860,Does your campus have a wastewater/sewage treatment plant?,SDG6,10343400,active,number
ID780511,Total no. of processes to prevent polluted water,SDG6,10201105,active,number
ID422606,No. of Stations,SDG6,10505179,active,number
ID147898,No. of Buildings,SDG6,10505179,active,number
ID910662,Total no. of building standards applied to minimize water use,SDG6,10761432,active,number
ID760730,No. of Building Standards,SDG6,10157995,active,number
ID928432,No. of policy,SDG6,10783001,active,number
ID151667,Treated water (in cubic meter),SDG6,10110224,active,number
ID891174,Reused treated water (in cubic meter),SDG6,10110224,active,number
ID136535,% of reused treated water (in cubic meter),SDG6,10110224,active,number
ID481330,Total no. of water management educational opportunities,SDG6,10598701,active,number
ID295337,Total no. of PPAs related to promotion of conscious water usage,SDG6,10503199,active,number
